Address,Price
"563 S 900 E, Salt Lake City, UT 84102","$649,000"
"115 S 1100 E #507, Salt Lake City, UT 84102","$369,900"
"1259 E South Temple #5, Salt Lake City, UT 84102","$395,000"
"88 S 900 E #115, Salt Lake City, UT 84102","$550,000"
"951 E 700 S, Salt Lake City, UT 84102","$700,000"
"605 E 900 S, Salt Lake City, UT 84105","$899,000"
"647 S Elizabeth St E, Salt Lake City, UT 84102","$750,000"
"914 E 1st Ave, Salt Lake City, UT 84103","$1,275,000"
"202 S 800 E, Salt Lake City, UT 84102","$1,345,000"
"128 S Windsor St E, Salt Lake City, UT 84102","$498,000"
"160 S 600 E #207, Salt Lake City, UT 84102","$339,900"
"519 E Lowell Ave, Salt Lake City, UT 84102","$724,900"
"643 S 1200 E, Salt Lake City, UT 84102","$1,150,000"
"426 S 1000 E #603, Salt Lake City, UT 84102","$515,000"
"539 E Hawthorne Ave, Salt Lake City, UT 84102","$499,900"
"1044 E 400 S Unit 206A, Salt Lake City, UT 84102","$365,000"
"130 S 1300 E #502, Salt Lake City, UT 84102","$275,000"
"777 E South Temple Unit 11A, Salt Lake City, UT 84102","$449,000"
"816 S 700 E, Salt Lake City, UT 84102","$549,900"
"555 E 100 S #404, Salt Lake City, UT 84102","$354,900"
"150 S 800 E Unit G1, Salt Lake City, UT 84102","$409,900"
"647 S Egli Ct, Salt Lake City, UT 84102","$355,000"
"130 S 1300 E #101, Salt Lake City, UT 84102","$269,900"
"1207 E Fenway Ave, Salt Lake City, UT 84102","$670,000"
"921 E 800 S, Salt Lake City, UT 84102","$698,500"
"768 E 800 S, Salt Lake City, UT 84102","$879,999"
"1117 E South Temple #4, Salt Lake City, UT 84102","$2,400,000"
"1117 E South Temple #2, Salt Lake City, UT 84102","$1,500,000"
"1117 E South Temple #1, Salt Lake City, UT 84102","$1,800,000"
"1117 E South Temple #3, Salt Lake City, UT 84102","$1,600,000"
"1268 E 200 S, Salt Lake City, UT 84102","$3,950,000"
"122 S Dooley Ct E, Salt Lake City, UT 84102","$480,000"
"626 S 1000 E, Salt Lake City, UT 84102","$829,900"
"537 S 500 E #104, Salt Lake City, UT 84102","$987,500"
"446 S 1200 E, Salt Lake City, UT 84102","$850,000"
"1071 E Norris Pl, Salt Lake City, UT 84102","$599,900"
"664 S 1000 E, Salt Lake City, UT 84102","$635,000"
"415 E 300 S #2, Salt Lake City, UT 84111","$419,900"
